loc	n.tags	auc	probes	genes	Healthy FTM mean	Healthy FTM sd	Adj. norm. FTE mean	Adj. norm. FTE sd	P53 signature mean	P53 signature sd	STIC mean	STIC sd	HGSC mean	HGSC sd
chr5 140797092:140797196	3	0.9	"cg03510378,cg13933262,cg14378860"	"PCDHGB7,PCDHGA1,PCDHGA10,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5,PCDHGB6"	0.065887439	0.037479612	0.122066057	0.054510156	0.082298826	0.025758429	0.337692135	0.035710637	0.383790352	0.024307974
chr14 102026086:102026953	13	0.89	"cg16366843,cg13126530,cg02609127,cg07193553,cg23354716,cg01044961,cg16781205,cg21174533,cg03721993,cg00328051,cg22325330,cg10590512,cg01693026"	"DIO3,MIR1247"	0.02573626	0.010710866	0.073866735	0.024560371	0.13319999	0.089246193	0.277440216	0.11596204	0.386663036	0.100572353
chr11 86085694:86085715	2	0.89	"cg18282849,cg10395685"	CCDC81	0.050254031	0.00091905	0.09190619	0.021092908	0.110809065	0.016368729	0.336482857	0.095457417	0.316370123	0.0892644
chr13 100624130:100624373	2	0.89	"cg12907379,cg23476830"	ZIC5	0.038669116	0.025009481	0.057742767	0.008217907	0.073160897	0.03382906	0.2145243	0.01869708	0.266045807	0.009599579
chr6 31782961:31783196	6	0.88	"cg09085842,cg15185479,cg18846140,cg22715094,cg01639032,cg11353380"	"HSPA1A,HSPA1L"	0.040903274	0.023066237	0.15309842	0.100382186	0.089013446	0.073956989	0.284088988	0.061416373	0.28352908	0.048054887
chr1 174968334:174968388	3	0.88	"cg13673319,cg01730534,cg13384453"	CACYBP	0.059256955	0.036741536	0.083849573	0.051608893	0.055448892	0.017223041	0.226621143	0.023324471	0.332015346	0.01031161
chr7 27213966:27214201	2	0.88	"cg01397139,cg14649140"	HOXA10	0.109427973	0.026618882	0.114009812	0.019924986	0.154294073	0.124876374	0.215362708	0.060098748	0.339957793	0.038615117
chr2 43019997:43020169	4	0.87	"cg26360792,cg27299406,cg09480054,cg01561916"	HAAO	0.031722578	0.018865471	0.072490263	0.018531253	0.083187439	0.034856512	0.27023651	0.013434752	0.332897492	0.021669288
chr12 25055967:25056127	5	0.86	"cg20399616,cg23424146,cg10072115,cg23930313,cg08598454"	BCAT1	0.048682184	0.022814947	0.076788231	0.040282654	0.03605174	0.017801574	0.287993809	0.052131257	0.322133021	0.024989181
chr6 73330106:73330297	4	0.86	"cg15120732,cg05350268,cg04290119,cg03922126"	KCNQ5	0.074384038	0.012225898	0.372952755	0.04456917	0.275994482	0.080924442	0.369117358	0.024966053	0.342626643	0.024593143
chr5 75377968:75378102	2	0.86	"cg25025437,cg24794347"	SV2C	0.030948184	0.018402367	0.234447753	0.169488027	0.307050842	0.147505173	0.428596043	0.071344001	0.553382373	0.05786808
chr5 140787504:140787507	2	0.86	"cg18617005,cg18507379"	"PCDHGB6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5"	0.023505096	0.001507676	0.058412597	0.002531677	0.025135905	0.000880571	0.384389736	0.040456208	0.452425468	0.020228217
chr3 147124417:147124543	3	0.86	"cg21127068,cg06369327,cg05548555"	ZIC4	0.080376957	0.04134527	0.08672404	0.028368554	0.164573675	0.178458519	0.212558176	0.013961336	0.335917425	0.035090891
chr2 216300268:216300292	2	0.86	"cg10692870,cg21314106"	FN1	0.057581597	0.002389645	0.110370969	0.041148151	0.111513223	0.023842342	0.192899769	0.028090745	0.327199485	0.047635839
chr11 116706372:116706520	2	0.86	"cg13090478,cg10753889"	APOA1	0.054473768	0.01612952	0.086611433	0.006758087	0.061793275	0.003177893	0.218614566	0.007976543	0.269213228	0.039576009
chr6 25652390:25652407	3	0.85	"cg04200224,cg10721149,cg13834623"	SCGN	0.06359203	0.025979256	0.196643952	0.052467462	0.129552025	0.024500251	0.301307062	0.015498474	0.343601333	0.039103803
chr11 76381971:76382149	2	0.85	"cg01691530,cg25717182"	LRRC32	0.053699953	0.002945633	0.277957832	0.231633605	0.425194391	0.261685743	0.406564121	0.219718752	0.453106079	0.228415438
chr15 83953744:83953780	2	0.85	"cg18952647,cg09180848"	BNC1	0.074077748	0.01331278	0.145927367	0.02722467	0.128714188	0.048377293	0.244867046	0.056015995	0.332407368	0.047978632
chr17 16283974:16284678	12	0.84	"cg10262404,cg06537829,cg23752691,cg14349843,cg13425712,cg05090851,cg01286555,cg24668364,cg25745651,cg07587433,cg03954587,cg10637938"	UBB	0.061143793	0.026631328	0.169089534	0.090324303	0.13655996	0.086853944	0.20097559	0.067022099	0.353797338	0.038311353
chr7 27205381:27205504	2	0.84	"cg26365299,cg03464573"	HOXA9	0.081163888	0.040209522	0.225516015	0.036881637	0.22077485	0.135713192	0.462104955	0.058205062	0.442587132	0.016601032
chr11 31840628:31840698	2	0.84	"cg06312283,cg07434271"	PAX6	0.077378206	0.04515899	0.081445489	0.001510293	0.109793927	0.124876354	0.172492224	0.012614778	0.399148505	0.02916694
chr19 13135333:13135494	2	0.84	"cg26581012,cg19611364"	NFIX	0.104970503	0.001688063	0.067251558	0.004197496	0.067072671	0.00055029	0.168125265	0.01299882	0.330031435	0.018547631
chr20 25129184:25129562	7	0.83	"cg01505767,cg04299389,cg22273939,cg18009321,cg05908371,cg16265348,cg08941457"	LOC284798	0.057860611	0.026239269	0.20083053	0.099168246	0.200085132	0.124873957	0.281751705	0.040846394	0.474153434	0.034033016
chr11 131780492:131780894	5	0.83	"cg15617814,cg11473001,cg06931179,cg26918812,cg17683427"	NTM	0.024986234	0.007167739	0.059242188	0.020427054	0.059345806	0.052194354	0.265065853	0.059801986	0.345337044	0.063705902
chr11 31827899:31827998	2	0.83	"cg13596833,cg04504066"	PAX6	0.068819633	0.078585201	0.068110803	0.04552564	0.036346619	0.015556165	0.115014043	0.073830531	0.325735307	0.064340561
chr5 140529580:140529627	2	0.83	"cg09178190,cg15038110"	PCDHB6	0.066702104	0.013333711	0.164941624	0.017937348	0.269404207	0.165817259	0.257109264	0.023794702	0.292005986	0.001529423
chr6 31783272:31783545	12	0.82	"cg21122656,cg26616261,cg02704535,cg19677203,cg22847691,cg00929855,cg15174834,cg12883479,cg10598353,cg13413286,cg17494781,cg18466674"	"HSPA1A,HSPA1L"	0.024050418	0.009154667	0.116306319	0.052715298	0.058168487	0.023984805	0.292306155	0.068930359	0.366553744	0.051651484
chr12 39299326:39299844	8	0.82	"cg13603508,cg01963134,cg07300451,cg26510017,cg11824397,cg13509195,cg21784036,cg24182470"	CPNE8	0.033194921	0.021590365	0.099975437	0.064764229	0.033672193	0.012045143	0.38291955	0.069725619	0.482546432	0.081218567
chr2 198650987:198651111	3	0.82	"cg13356896,cg07495363,cg17565627"	BOLL	0.030347129	0.010071754	0.080721281	0.062531696	0.064301499	0.048181537	0.13599011	0.032853736	0.369170754	0.048809878
chr10 133110244:133110646	3	0.82	"cg23632875,cg03109827,cg03943081"	TCERG1L	0.04314278	0.041688717	0.069546351	0.038048172	0.187369895	0.102647764	0.196698506	0.074785169	0.289809841	0.042082233
chr4 90757398:90757533	2	0.82	"cg20003494,cg26578617"	SNCA	0.056029917	0.005227547	0.205638582	0.021133123	0.198614097	0.079077402	0.319245281	0.075509194	0.305985628	0.038449537
chr5 10308246:10308250	2	0.81	"cg16575104,cg10178203"	CMBL	0.063058389	0.016119606	0.171457923	0.007821833	0.078134815	0.020799917	0.304226238	0.013209691	0.399217479	0.010031949
chr2 223163677:223163679	2	0.81	"cg18352427,cg20372045"	"PAX3,CCDC140"	0.073226829	0.058323569	0.111315413	0.026218072	0.069140381	0.007130809	0.209405388	0.033324258	0.328955701	0.014419456
chr7 27282005:27282233	2	0.81	"cg10188985,cg11640378"	"EVX1,EVX1-AS"	0.075524558	0.030735812	0.136550925	0.010619989	0.115076457	0.099842564	0.251871561	0.084263186	0.298322337	0.037684885
chr9 36258661:36258825	2	0.8	"cg21042356,cg14447369"	GNE	0.027405363	0.016185201	0.046858056	0.029519623	0.026394606	0.00669718	0.236792506	0.003098617	0.274108956	0.029634538
chr10 43892790:43893073	9	0.79	"cg04424930,cg17824240,cg04990571,cg27641141,cg02169113,cg19029378,cg09936190,cg05525499,cg16042558"	HNRNPF	0.042055487	0.028540326	0.069177311	0.050164826	0.059563076	0.049667743	0.169738395	0.053364259	0.456373253	0.041819626
chr5 140248390:140248424	2	0.79	"cg12091708,cg26023680"	"PCDHA11,PCDHA1,PCDHA10,PCDHA6,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA7,PCDHA8,PCDHA9"	0.075223943	0.014104728	0.199015524	0.015164545	0.165142907	0.017744809	0.4106397	0.007531686	0.432076511	0.022018557
chr15 53083518:53083532	2	0.79	"cg20056542,cg13877670"	ONECUT1	0.062049652	0.016446341	0.134288703	0.071096586	0.307493251	0.054724919	0.306716126	0.034782385	0.430162585	0.025509221
chr5 140588221:140588231	3	0.79	"cg17047981,cg05827573,cg12343638"	PCDHB12	0.058311916	0.025057312	0.09283529	0.008997126	0.062918984	0.001771835	0.409319219	0.101102493	0.308353869	0.046321606
chr2 154728202:154728210	2	0.79	"cg26983710,cg07547000"	GALNT13	0.017633593	0.002955938	0.050198941	0.027344251	0.074838556	0.074001917	0.251615262	0.04790432	0.303568827	0.026926337
chr10 102899949:102900262	2	0.79	"cg02167020,cg16130857"	N/A	0.054551245	0.006162159	0.076079432	0.038313325	0.075988416	0.070800429	0.216775287	0.057350404	0.315807076	0.05562392
chr1 235814188:235814201	2	0.79	"cg02023150,cg21895505"	"GNG4,MIR5096"	0.058181942	0.002530472	0.162288407	0.018095767	0.380825562	0.158802598	0.256918085	0.026888532	0.32773801	0.060684913
chr18 76740101:76740258	2	0.79	"cg07382554,cg14007067"	SALL3	0.043367445	0.031741697	0.065281437	0.032625134	0.042878203	3.77981E-05	0.159506881	0.016050271	0.258157365	0.031153375
chr8 144650730:144651002	3	0.78	"cg05191879,cg13671044,cg19951303"	"MROH6,C8orf73"	0.043169719	0.010825737	0.178403595	0.057231444	0.198990356	0.085520749	0.352061274	0.025889861	0.467851742	0.030472747
chr15 45421578:45421749	3	0.78	"cg06904403,cg13605988,cg17438432"	"DUOX1,DUOXA1"	0.063350459	0.022703927	0.117370668	0.072484502	0.105578878	0.059620947	0.20577013	0.045112725	0.303158187	0.008587692
chr10 23982350:23982480	3	0.78	"cg06251764,cg18633693,cg04063945"	KIAA1217	0.049575475	0.024204742	0.149061926	0.034148367	0.093814714	0.04683285	0.20999063	0.070951759	0.289195113	0.053621684
chr12 95942907:95942964	2	0.77	"cg13879483,cg07783282"	USP44	0.079664822	0.000348234	0.18530593	0.070659534	0.295766356	0.254360106	0.259298474	0.063708242	0.338702966	0.013096574
chr1 165326069:165326082	2	0.75	"cg02885925,cg26436962"	LMX1A	0.054846687	0.018219329	0.115095558	0.054187505	0.218654786	0.086853217	0.222414287	0.08085942	0.407521374	0.047042312
chr2 176993643:176993841	2	0.75	"cg20732478,cg21815667"	HOXD8	0.085559865	0.047770015	0.174722829	0.06363958	0.399919277	0.262163274	0.27458388	0.129140827	0.355734305	0.138840785
chr20 25566470:25566563	2	0.75	"cg03522245,cg16686733"	NINL	0.072303294	0.000797116	0.206151894	0.059737756	0.179479468	0.088316957	0.197069437	0.021571605	0.323414403	0.002412423
chr1 206223241:206224027	7	0.74	"cg18992688,cg17587023,cg00761787,cg26795730,cg16368479,cg17940251,cg04633513"	AVPR1B	0.044448258	0.035217768	0.075901831	0.062233466	0.08960024	0.12992562	0.132250212	0.073450192	0.308812894	0.027001648
chr3 160167746:160167789	4	0.74	"cg26856080,cg26433838,cg02723904,cg12479674"	TRIM59	0.030826507	0.019870498	0.056683299	0.055042205	0.042047468	0.042984546	0.196714853	0.112696831	0.371480689	0.058417635
chr19 51170816:51171061	2	0.74	"cg08447324,cg16658931"	SHANK1	0.027364512	0.010692057	0.086302995	0.009561568	0.746604836	0.093103425	0.50446913	0.05232579	0.458629333	0.000797914
chr20 21378045:21378211	2	0.73	"cg11667020,cg21200408"	NKX2-4	0.056131019	0.033785379	0.134381424	0.039557938	0.165839347	0.020108662	0.280527706	0.068205908	0.275195704	0.021963867
chr3 187455371:187455734	4	0.71	"cg00480331,cg18562663,cg07091593,cg12942328"	BCL6	0.047197993	0.031469761	0.056429403	0.025364864	0.063686289	0.053467057	0.309949055	0.092720645	0.382755045	0.062156735
chr4 41751886:41752452	3	0.71	"cg11046315,cg05994794,cg11777515"	PHOX2B	0.079150819	0.037115118	0.099068024	0.046121197	0.095385796	0.038563982	0.205508209	0.05310527	0.321416756	0.031910305
chr6 27782126:27782541	3	0.69	"cg21771891,cg20478264,cg04024413"	"HIST1H2AJ,HIST1H2BM"	0.089601905	0.042820694	0.241102638	0.155830113	0.183966243	0.126906959	0.27176387	0.089886738	0.319321053	0.035480536
chr11 2292428:2292447	2	0.68	"cg20912770,cg05309948"	ASCL2	0.041655767	0.009873869	0.075480485	0.022434645	0.066150805	0.011079629	0.194733751	0.050872909	0.301169563	0.059823236
chr6 10426637:10426657	2	0.68	"cg26987855,cg21080336"	N/A	0.045286672	0.020675253	0.038846621	0.003083033	0.0309404	0.00164725	0.157346975	0.000766302	0.283393847	0.004361118
chr5 176559881:176560001	2	0.68	"cg08369368,cg18016826"	NSD1	0.087552549	0.005080098	0.046198215	0.017706933	0.036832649	0.011491421	0.141842467	0.015999546	0.284363747	0.001966132
chr7 99517369:99517378	2	0.67	"cg12914047,cg13822726"	TRIM4	0.054290371	0.006169676	0.120222471	0.038999235	0.083900878	0.030431229	0.257107437	0.009520334	0.285001654	0.006806643
chr19 58280801:58280832	2	0.63	"cg27046034,cg03584535"	ZNF586	0.101606063	0.006187624	0.163827318	0.015308163	0.274588982	0.076224767	0.410430157	0.04209542	0.441939371	0.009297472
chr6 6004207:6004337	4	0.59	"cg13021333,cg13237002,cg24720571,cg09555118"	NRN1	0.055508156	0.019975027	0.113526145	0.073508479	0.110663024	0.078381204	0.232797955	0.134197303	0.340541517	0.056083669
chr6 30711796:30711835	4	0.58	"cg13804182,cg16493531,cg10916998,cg16331823"	"FLOT1,IER3"	0.048593021	0.002799055	0.2609726	0.085041843	0.605703324	0.174087465	0.346961178	0.089141905	0.275070035	0.034102387
chr3 139653545:139653573	2	0.57	"cg01755562,cg00134776"	CLSTN2	0.048872516	0.029912933	0.140935334	0.042783918	0.595222769	0.065635405	0.392841361	0.061934532	0.287877489	0.039200919
chr8 33371996:33372188	2	0.54	"cg11755107,cg00425988"	C8orf41	0.053096935	0.047127402	0.139878736	0.034685478	0.058552837	0.051319443	0.268606989	0.065992604	0.288734656	0.038755383
chr7 121943990:121944282	3	0.52	"cg16392213,cg24934063,cg16197925"	FEZF1	0.074902722	0.035058719	0.130268099	0.015932233	0.276466599	0.021294906	0.272710682	0.069177723	0.316273712	0.06072839
chr9 36258587:36258600	2	0.47	"cg22766783,cg21210985"	GNE	0.022035682	0.004062014	0.029344456	0.013668028	0.025236607	0.005623219	0.189236189	0.021431433	0.245498277	0.00176727
chr17 36103953:36104218	3	0.42	"cg05110178,cg11862993,cg09463047"	HNF1B	0.1124898	0.050437638	0.054661089	0.020118473	0.040065137	0.018080502	0.296823836	0.008676368	0.374138689	0.023910165
